pedido_id,fecha_pedido,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes,tiempo_entrega
0000060,11/16:35,UBBB,OERK,UBBB->VIDP (5.5h) | VIDP->OERK (4.9h),1,140,10.43
0000060,11/16:35,UBBB,OERK,UBBB->OERK (3.3h),140,0,3.28
0000061,12/08:50,UBBB,OOMS,UBBB->OOMS (3.6h),154,0,3.55
0000062,12/22:15,UBBB,OYSN,UBBB->OOMS (3.6h) | OOMS->OMDB (2.5h) | OMDB->OYSN (4.0h),57,98,10.02
0000062,12/22:15,UBBB,OYSN,UBBB->OYSN (5.6h),98,0,5.57
0000063,12/14:00,UBBB,OMDB,UBBB->OMDB (4.2h),155,0,4.17
0000064,12/05:15,UBBB,OJAI,UBBB->OMDB (4.2h) | OMDB->OOMS (1.5h) | OOMS->OJAI (5.1h),156,0,10.70
0000065,12/17:50,EBCI,UMMS,EBCI->EHAM (2.3h) | EHAM->UMMS (4.0h),156,0,6.30
0000066,13/09:30,SPIM,SVMI,SPIM->SLLP (3.3h) | SLLP->SEQM (4.6h) | SEQM->SVMI (4.2h),157,0,12.12
0000067,13/22:55,SPIM,SKBO,SPIM->SLLP (3.3h) | SLLP->SEQM (4.6h) | SEQM->SVMI (4.2h) | SVMI->SKBO (2.4h),157,0,14.50
0000068,13/14:40,SPIM,SEQM,SPIM->SLLP (3.3h) | SLLP->SEQM (4.6h),6,152,7.95
0000068,13/14:40,SPIM,SEQM,SPIM->SEQM (3.7h),152,0,3.68
0000069,13/06:25,SPIM,SBBR,SPIM->SBBR (6.1h),158,0,6.08
0000070,13/19:10,SPIM,SLLP,SPIM->SBBR (6.1h) | SBBR->SLLP (3.8h),159,0,9.92
0000071,14/11:50,SPIM,SCEL,SPIM->SBBR (6.1h) | SBBR->SLLP (3.8h) | SLLP->SCEL (3.4h),23,136,13.30
0000071,14/11:50,SPIM,SCEL,SPIM->SCEL (4.1h),136,0,4.07
0000072,14/02:35,SPIM,SABE,SPIM->SABE (4.9h),160,0,4.90
0000073,14/15:10,SPIM,SGAS,SPIM->SABE (4.9h) | SABE->SGAS (3.3h),160,0,8.15
0000074,14/07:40,SPIM,SUAA,SPIM->SABE (4.9h) | SABE->SGAS (3.3h) | SGAS->SUAA (2.3h),40,121,10.40
0000074,14/07:40,SPIM,SUAA,SPIM->SUAA (6.1h),121,0,6.07
0000075,14/20:55,EBCI,LATI,EBCI->LATI (2.9h),161,0,2.92
0000076,15/12:05,EBCI,EDDI,EBCI->LATI (2.9h) | LATI->EDDI (2.6h),159,3,5.55
0000076,15/12:05,EBCI,EDDI,EBCI->EDDI (1.8h),3,0,1.83
0000077,15/03:30,EBCI,LOWW,EBCI->LOWW (3.1h),162,0,3.13
0000078,15/16:00,EBCI,LKPR,EBCI->LOWW (3.1h) | LOWW->LKPR (2.3h),158,5,5.47
0000078,15/16:00,EBCI,LKPR,EBCI->LKPR (1.9h),5,0,1.88
0000079,15/08:45,EBCI,LDZA,EBCI->LDZA (2.3h),163,0,2.32
0000080,15/21:20,EBCI,EKCH,EBCI->LDZA (2.3h) | LDZA->EKCH (2.4h),111,53,4.75
0000080,15/21:20,EBCI,EKCH,EBCI->LDZA (2.3h) | LDZA->EKCH (2.4h),53,0,4.75
0000081,16/10:00,EBCI,EHAM,EBCI->LDZA (2.3h) | LDZA->EHAM (2.5h),13,151,4.78
0000081,16/10:00,EBCI,EHAM,EBCI->EHAM (1.3h),79,72,1.27
0000081,16/10:00,EBCI,EHAM,EBCI->EHAM (2.3h),72,0,2.27
0000082,16/01:45,UBBB,VIDP,UBBB->OPKC (5.0h) | OPKC->VIDP (3.4h),165,0,8.37
0000083,16/14:30,UBBB,OSDI,UBBB->OPKC (5.0h) | OPKC->VIDP (3.4h) | VIDP->OAKB (3.3h) | OAKB->OERK (5.1h) | OERK->OSDI (2.8h),155,10,19.50
0000083,16/14:30,UBBB,OSDI,UBBB->OSDI (2.9h),10,0,2.85
0000084,16/05:55,UBBB,OERK,UBBB->OERK (3.3h),166,0,3.28
0000085,16/18:20,UBBB,OOMS,UBBB->OERK (3.3h) | OERK->LDZA (5.5h) | LDZA->EDDI (3.0h) | EDDI->OMDB (6.8h) | OMDB->OOMS (1.5h),164,2,20.07
0000085,16/18:20,UBBB,OOMS,UBBB->OERK (3.3h) | OERK->LDZA (5.5h) | LDZA->EDDI (3.0h) | EDDI->OMDB (6.8h) | OMDB->OOMS (2.5h),2,0,21.07
0000086,17/07:40,UBBB,OYSN,UBBB->OERK (3.3h) | OERK->LDZA (5.5h) | LDZA->EDDI (3.0h) | EDDI->OMDB (6.8h) | OMDB->OYSN (4.0h),8,159,22.60
0000086,17/07:40,UBBB,OYSN,UBBB->OYSN (4.6h),159,0,4.57
0000087,17/21:05,UBBB,OMDB,UBBB->OMDB (4.2h),49,118,4.17
0000087,17/21:05,UBBB,OMDB,UBBB->OMDB (4.2h),118,0,4.17
0000088,17/12:50,UBBB,OJAI,UBBB->OERK (3.3h) | OERK->OJAI (2.7h),95,73,5.95
